trddt,opnprc,hiprc,loprc,clsprc,ret_pct,cum_ret_pct,dnshrtrd,turnover_value_yi
2020-01-02,7.58,7.74,7.55,7.73,,0.0,112483572,8.64
2020-01-03,7.75,7.87,7.72,7.78,0.6468,0.6468,82488564,6.42
2020-01-06,7.76,8.25,7.69,8.17,5.0129,5.6921,184304539,14.88
2020-01-07,8.19,8.26,8.11,8.21,0.4896,6.2096,104305869,8.55
2020-01-08,8.14,8.2,8.09,8.13,-0.9744,5.1746,72415665,5.9
2020-01-09,8.17,8.3,8.13,8.18,0.615,5.8215,91540131,7.51
2020-01-10,8.21,8.3,8.21,8.24,0.7335,6.5977,79818320,6.59
2020-01-13,8.24,8.24,8.01,8.2,-0.4854,6.0802,87756873,7.16
2020-01-14,8.24,8.26,8.06,8.1,-1.2195,4.7865,88706491,7.22
2020-01-15,8.1,8.15,8.05,8.11,0.1235,4.9159,49313220,4.0
2020-01-16,8.11,8.13,7.96,8.0,-1.3564,3.4929,61551760,4.93
2020-01-17,8.02,8.09,7.98,8.07,0.875,4.3984,41299207,3.32
2020-01-20,8.06,8.06,7.94,8.0,-0.8674,3.4929,61487369,4.91
2020-01-21,7.95,7.95,7.62,7.64,-4.5,-1.1643,124375995,9.59
2020-01-22,7.57,7.86,7.52,7.82,2.356,1.1643,99592147,7.65
2020-01-23,7.68,7.78,7.48,7.57,-3.1969,-2.0699,93722996,7.13
2020-02-03,7.08,7.9,7.05,7.7,1.7173,-0.3881,198836581,15.08
2020-02-04,7.8,8.47,7.8,8.43,9.4805,9.0556,221637039,18.2
2020-02-05,8.43,8.68,8.3,8.56,1.5421,10.7374,183196371,15.58
2020-02-06,8.65,9.07,8.52,8.94,4.4393,15.6533,216956148,19.36
2020-02-07,8.87,9.05,8.74,9.02,0.8949,16.6882,144391928,12.87
2020-02-10,8.97,9.65,8.95,9.39,4.102,21.4748,177608611,16.61
2020-02-11,9.5,9.58,9.02,9.14,-2.6624,18.2406,140537834,12.91
2020-02-12,9.14,9.22,8.94,9.09,-0.547,17.5938,108231909,9.8
2020-02-13,9.16,9.18,8.95,9.08,-0.11,17.4644,92930634,8.43
2020-02-14,9.05,9.05,8.85,8.9,-1.9824,15.1358,93982239,8.41
2020-02-17,8.99,9.12,8.92,9.1,2.2472,17.7232,101977852,9.22
2020-02-18,9.15,9.35,9.05,9.25,1.6484,19.6636,97166344,8.93
2020-02-19,9.19,9.32,9.13,9.17,-0.8649,18.6287,71821102,6.61
2020-02-20,9.14,9.25,9.03,9.16,-0.1091,18.4994,84092329,7.68
2020-02-21,9.14,9.14,8.93,9.04,-1.31,16.947,89626108,8.08
2020-02-24,9.0,9.02,8.72,8.74,-3.3186,13.066,118731003,10.44
2020-02-25,8.58,8.88,8.51,8.69,-0.5721,12.4191,96510101,8.4
2020-02-26,8.58,9.04,8.55,8.99,3.4522,16.3001,155650041,13.79
2020-02-27,9.08,9.17,8.88,8.96,-0.3337,15.912,91936231,8.27
2020-02-28,8.97,8.97,8.57,8.6,-4.0179,11.2549,91248993,7.96
2020-03-02,8.6,8.88,8.6,8.81,2.4419,13.9715,77018638,6.75
2020-03-03,8.96,9.1,8.85,9.08,3.0647,17.4644,101875191,9.17
2020-03-04,9.05,9.99,8.98,9.96,9.6916,28.8486,251540445,24.16
2020-03-05,9.78,10.15,9.77,9.92,-0.4016,28.3312,148497974,14.79
2020-03-06,9.81,10.34,9.76,9.89,-0.3024,27.9431,130835290,13.07
2020-03-09,9.71,10.12,9.65,9.79,-1.0111,26.6494,114862311,11.3
2020-03-10,9.79,10.05,9.52,9.95,1.6343,28.7193,114367045,11.25
2020-03-11,9.95,10.14,9.8,10.01,0.603,29.4955,84457916,8.45
2020-03-12,9.87,9.98,9.64,9.88,-1.2987,27.8137,93062743,9.13
2020-03-13,9.45,9.71,9.32,9.66,-2.2267,24.9677,104020919,9.91
2020-03-16,9.63,9.69,8.98,9.16,-5.176,18.4994,101590399,9.44
2020-03-17,9.17,9.31,8.78,9.11,-0.5459,17.8525,83582158,7.57
2020-03-18,9.16,9.48,9.0,9.01,-1.0977,16.5589,66738032,6.17
2020-03-19,9.26,9.59,9.15,9.5,5.4384,22.8978,131657688,12.36
2020-03-20,9.41,9.64,9.24,9.51,0.1053,23.0272,81247286,7.66
2020-03-23,9.18,9.42,9.09,9.31,-2.103,20.4398,57709853,5.35
2020-03-24,9.5,9.54,9.08,9.31,0.0,20.4398,57608032,5.36
2020-03-25,9.43,9.58,9.28,9.41,1.0741,21.7335,58980851,5.55
2020-03-26,9.39,9.83,9.29,9.72,3.2944,25.7439,70020512,6.76
2020-03-27,9.89,9.95,9.65,9.8,0.823,26.7788,83281611,8.18
2020-03-30,9.67,10.26,9.64,10.22,4.2857,32.2122,130893308,13.17
2020-03-31,10.14,10.36,10.03,10.24,0.1957,32.4709,73848959,7.52
2020-04-01,10.17,10.24,9.8,9.86,-3.7109,27.555,72174864,7.22
2020-04-02,9.84,9.84,9.62,9.8,-0.6085,26.7788,51129757,4.97
2020-04-03,9.77,10.14,9.77,10.03,2.3469,29.7542,63148803,6.33
2020-04-07,10.18,10.34,9.94,10.33,2.991,33.6352,82778748,8.41
2020-04-08,10.23,10.48,10.15,10.33,0.0,33.6352,60633509,6.24
2020-04-09,10.4,10.6,10.24,10.47,1.3553,35.4463,54576377,5.69
2020-04-10,10.45,10.69,10.2,10.31,-1.5282,33.3765,56448901,5.89
2020-04-13,10.21,10.44,10.14,10.35,0.388,33.8939,39347988,4.06
2020-04-14,10.4,10.66,10.33,10.66,2.9952,37.9043,60770523,6.39
2020-04-15,10.63,10.73,10.41,10.45,-1.97,35.1876,43990759,4.63
2020-04-16,10.4,10.49,10.2,10.47,0.1914,35.4463,48989510,5.08
2020-04-17,10.42,10.46,10.08,10.34,-1.2416,33.7646,63063342,6.47
2020-04-20,10.32,10.52,10.21,10.45,1.0638,35.1876,42585515,4.43
2020-04-21,10.49,10.58,10.34,10.45,0.0,35.1876,33955857,3.54
2020-04-22,10.4,10.83,10.35,10.78,3.1579,39.4567,50311666,5.36
2020-04-23,10.76,10.87,10.64,10.8,0.1855,39.7154,39504954,4.26
2020-04-24,10.78,10.78,10.56,10.65,-1.3889,37.7749,35550858,3.78
2020-04-27,10.7,11.06,10.66,10.86,1.9718,40.4916,49759205,5.42
2020-04-28,10.86,11.2,10.7,11.2,3.1308,44.89,64897696,7.14
2020-04-29,10.98,10.99,10.43,10.52,-6.0714,36.0931,131423352,13.97
2020-04-30,10.5,10.5,10.08,10.16,-3.4221,31.436,130462053,13.37
2020-05-06,10.09,10.2,9.94,10.17,0.0984,31.5653,71960069,7.25
2020-05-07,10.12,10.13,9.91,9.92,-2.4582,28.3312,74840071,7.49
2020-05-08,9.95,10.13,9.89,9.99,0.7056,29.2367,70272389,7.03
2020-05-11,9.99,10.06,9.79,9.93,-0.6006,28.4605,83401003,8.25
2020-05-12,9.93,10.2,9.83,10.15,2.2155,31.3066,86859041,8.76
2020-05-13,10.1,10.16,9.99,10.13,-0.197,31.0479,67840546,6.84
2020-05-14,10.09,10.09,9.87,9.88,-2.4679,27.8137,57069953,5.67
2020-05-15,9.89,9.94,9.39,9.61,-2.7328,24.3208,152367577,14.59
2020-05-18,9.64,9.83,9.55,9.76,1.5609,26.2613,74067901,7.21
2020-05-19,9.85,9.9,9.74,9.79,0.3074,26.6494,53890068,5.28
2020-05-20,9.83,9.83,9.35,9.38,-4.1879,21.3454,110471135,10.42
2020-05-21,9.38,9.42,9.15,9.16,-2.3454,18.4994,84755878,7.84
2020-05-22,9.13,9.33,9.04,9.08,-0.8734,17.4644,83462283,7.66
2020-05-25,9.13,9.22,9.01,9.12,0.4405,17.9819,44254271,4.03
2020-05-26,9.18,9.3,9.07,9.29,1.864,20.1811,67739739,6.24
2020-05-27,9.24,9.28,9.11,9.15,-1.507,18.37,47860668,4.39
2020-05-28,9.15,9.22,8.95,9.06,-0.9836,17.2057,52986604,4.8
2020-05-29,9.07,9.37,9.0,9.32,2.8698,20.5692,71859643,6.66
2020-06-01,9.35,9.44,9.25,9.35,0.3219,20.9573,78113628,7.28
2020-06-02,9.35,9.52,9.28,9.29,-0.6417,20.1811,74365302,6.97
2020-06-03,9.32,9.35,9.18,9.21,-0.8611,19.1462,61828903,5.71
2020-06-04,9.21,9.23,8.98,9.04,-1.8458,16.947,94668017,8.56
2020-06-05,9.05,9.15,8.98,9.1,0.6637,17.7232,56149236,5.07
2020-06-08,9.15,9.15,8.95,8.98,-1.3187,16.1708,59639662,5.36
2020-06-09,8.98,9.03,8.92,9.01,0.3341,16.5589,44674143,4.01
2020-06-10,9.01,9.1,8.95,8.96,-0.5549,15.912,43921621,3.95
2020-06-11,8.96,9.02,8.9,8.91,-0.558,15.2652,72379893,6.47
2020-06-12,8.78,9.12,8.73,9.11,2.2447,17.8525,84763270,7.64
2020-06-15,9.32,9.65,9.32,9.44,3.6224,22.1216,210669017,20.04
2020-06-16,9.5,9.59,9.34,9.44,0.0,22.1216,83274240,7.87
2020-06-17,9.46,9.6,9.4,9.6,1.6949,24.1915,60654236,5.76
2020-06-18,9.47,9.47,9.26,9.29,-3.2292,20.1811,60048373,5.61
2020-06-19,9.28,9.44,9.23,9.35,0.6459,20.9573,79146619,7.41
2020-06-22,9.43,9.45,9.26,9.34,-0.107,20.8279,50170314,4.68
2020-06-23,9.34,9.65,9.28,9.58,2.5696,23.9327,74350583,7.07
2020-06-24,9.59,9.65,9.4,9.42,-1.6701,21.8629,55758875,5.3
2020-06-29,9.38,9.49,9.22,9.43,0.1062,21.9922,54353310,5.08
2020-06-30,9.5,9.54,9.32,9.38,-0.5302,21.3454,54615174,5.15
2020-07-01,9.4,9.43,9.19,9.35,-0.3198,20.9573,56855989,5.28
