trdmnt,mopnprc,mclsprc,ret_pct,cum_ret_pct,mnshrtrd,mvaltrd_yi
2019-01,7.9,8.06,,0.0,640422963,51.99
2019-02,8.09,8.65,7.3201,7.3201,646917758,56.3
2019-03,8.65,8.64,-0.1156,7.196,1120984205,95.87
2019-04,8.7,9.77,13.0787,21.2159,1158367777,107.03
2019-05,9.6,9.8,0.3071,21.5881,1047431333,103.2
2019-06,9.8,10.21,4.1837,26.6749,708395023,71.77
2019-07,10.42,9.67,-5.2889,19.9752,764230154,75.45
2019-08,9.67,9.85,1.8614,22.2084,667704308,64.12
2019-09,9.83,8.89,-9.7462,10.2978,1024647212,94.21
2019-10,8.9,8.34,-6.1867,3.4739,812071390,69.99
2019-11,8.33,7.43,-10.9113,-7.8164,939088503,73.92
2019-12,7.43,7.54,1.4805,-6.4516,1373667592,103.73
2020-01,7.58,7.57,0.3979,-6.0794,1435162718,114.38
2020-02,7.08,8.6,13.6063,6.6998,2577069398,226.63
2020-03,8.6,10.24,19.0698,27.0471,2217697161,213.07
2020-04,10.17,10.16,-0.7812,26.0546,1275504237,132.62
2020-05,10.09,9.32,-8.2677,15.6328,1355958839,130.42
2020-06,9.35,9.38,0.6438,16.3772,1453544416,134.99
2020-07,9.4,8.99,-4.1578,11.5385,2827773338,273.16
2020-08,9.02,8.88,-1.2236,10.1737,1620796730,147.03
2020-09,8.85,7.83,-11.8243,-2.8536,1526590831,130.08
2020-10,7.82,7.81,-0.2554,-3.1017,749655563,59.99
2020-11,7.7,7.82,0.128,-2.9777,1412591481,111.67
2020-12,7.79,7.18,-8.1841,-10.9181,1581416701,116.77
2021-01,7.2,6.82,-5.0139,-15.3846,1530958729,109.53
2021-02,6.8,7.21,5.7185,-10.5459,1263291665,92.9
2021-03,7.22,6.8,-5.6865,-15.6328,957431379,66.86
2021-04,6.84,5.57,-18.0882,-30.8933,993132134,61.93
2021-05,5.53,5.72,2.693,-29.0323,820747286,44.92
2021-06,5.76,4.73,-17.3077,-41.3151,782256069,39.86
2021-07,4.74,4.04,-14.5877,-49.8759,859704701,37.85
2021-08,4.04,3.81,-5.6931,-52.7295,804058459,32.95
2021-09,3.81,3.92,2.8871,-51.3648,787047960,31.45
2021-10,3.93,3.93,0.2551,-51.2407,553953265,22.27
2021-11,3.79,3.88,-1.2723,-51.861,1041432347,42.49
2021-12,3.89,4.05,4.3814,-49.7519,906529608,35.87
2022-01,4.06,3.88,-4.1975,-51.861,1416377231,59.86
2022-02,3.79,3.65,-5.9278,-54.7146,613062704,23.45
2022-03,3.65,4.22,15.6164,-47.6427,2918462519,117.47
2022-04,4.22,4.43,4.9763,-45.0372,3206315856,142.87
2022-05,4.55,4.39,-0.9029,-45.5335,2346523363,109.39
2022-06,4.41,4.28,-2.5057,-46.8983,1697311949,71.49
2022-07,4.25,3.47,-18.9252,-56.9479,1589580562,61.51
2022-08,3.47,3.41,-1.7291,-57.6923,1110634837,38.3
2022-09,3.42,3.13,-8.2111,-61.1663,1031205347,34.8
2022-10,3.12,2.98,-4.7923,-63.0273,462279070,14.15
2022-11,2.98,3.26,9.396,-59.5533,844445689,26.71
2022-12,3.32,3.65,11.9632,-54.7146,2744065540,101.23
2023-01,3.65,3.51,-3.8356,-56.4516,811694933,28.38
2023-02,3.5,3.43,-2.2792,-57.4442,701030504,24.58
2023-03,3.43,3.44,0.2915,-57.3201,865038593,29.4
2023-04,3.42,3.42,-0.5814,-57.5682,661763809,22.08
2023-05,3.37,3.21,-6.1404,-60.1737,702684109,23.28
2023-06,3.21,3.13,-2.4922,-61.1663,414396989,13.25
2023-07,3.12,3.5,11.8211,-56.5757,692091889,22.84
2023-08,3.49,3.22,-8.0,-60.0496,3006038582,108.49
2023-09,3.24,3.21,-0.3106,-60.1737,631783729,20.62
2023-10,3.21,3.08,-4.0498,-61.7866,438732528,13.59
2023-11,3.09,3.05,-0.974,-62.1588,828367572,25.33
2023-12,3.05,2.82,-7.541,-65.0124,881531078,25.89
2024-01,2.82,2.45,-13.1206,-69.603,706298143,18.87
2024-02,2.43,2.64,7.7551,-67.2457,874054310,22.14
2024-03,2.63,2.28,-13.6364,-71.7122,896774959,22.13
2024-04,2.28,2.43,6.5789,-69.8511,930728097,20.96
2024-05,2.45,2.63,8.2305,-67.3697,2619733208,65.55
2024-06,2.63,2.48,-5.7034,-69.2308,4025690954,109.42
2024-07,2.49,2.26,-8.871,-71.9603,2289797241,51.57
2024-08,2.26,2.34,3.5398,-70.9677,4180571200,101.59
2024-09,2.35,3.63,55.1282,-54.9628,2230804530,57.98
2024-10,3.99,4.61,26.9972,-42.804,9370762020,351.53
2024-11,4.47,5.04,9.3275,-37.469,10725170620,516.26
2024-12,5.3,6.34,25.7937,-21.34,17972883218,1160.98
2025-01,6.3,5.46,-13.8801,-32.2581,9321731254,554.29
2025-02,5.43,5.33,-2.381,-33.871,6359740194,340.18
2025-03,5.35,4.79,-10.1313,-40.5707,6109861576,304.6
2025-04,4.75,5.16,7.7244,-35.9801,11705553920,664.78
2025-05,5.17,4.98,-3.4884,-38.2134,3883258374,202.44
2025-06,4.94,4.9,-1.6064,-39.206,2632280357,129.45
2025-07,4.9,4.73,-3.4694,-41.3151,3710742626,179.47
2025-08,4.72,5.18,9.5137,-35.732,4951576178,246.36
2025-09,5.13,4.68,-9.6525,-41.9355,5504466588,286.24
2025-10,4.66,4.67,-0.2137,-42.0596,2389588383,114.15
