year,region,revenue_yi,revenue_share_pct,gross_margin_pct,is_estimated
2020,华西,172.42,18.5,17.2,1
2021,华西,167.9,18.44,16.88,1
2022,华西,165.54,18.38,16.55,1
2023,华西,144.01,18.31,16.23,1
2024,华西,123.32,18.25,15.9,0
2020,西南,153.78,16.5,17.0,1
2021,西南,152.32,16.73,16.7,1
2022,西南,152.75,16.96,16.4,1
2023,西南,135.13,17.18,16.1,1
2024,西南,117.65,17.41,15.8,0
2020,华东,158.44,17.0,16.8,1
2021,华东,152.12,16.71,16.75,1
2022,华东,147.84,16.41,16.7,1
2023,华东,126.73,16.12,16.65,1
2024,华东,106.9,15.82,16.6,1
2020,华北,139.8,15.0,18.0,1
2021,华北,136.8,15.02,18.05,1
2022,华北,135.54,15.04,18.1,1
2023,华北,118.49,15.07,18.15,1
2024,华北,101.97,15.09,18.2,1
2020,华中,79.22,8.5,17.5,1
2021,华中,75.6,8.3,17.57,1
2022,华中,73.02,8.11,17.65,1
2023,华中,62.19,7.91,17.72,1
2024,华中,52.1,7.71,17.8,0
2020,华南,51.26,5.5,18.8,1
2021,华南,47.28,5.19,18.9,1
2022,华南,44.01,4.89,19.0,1
2023,华南,36.0,4.58,19.1,1
2024,华南,28.85,4.27,19.2,0
